test_name,category,real_vulnerability,cwe
BenchmarkTest00012,ldapi,true,90
BenchmarkTest00027,sqli,true,89
BenchmarkTest00032,sqli,true,89
BenchmarkTest00037,sqli,true,89
BenchmarkTest00152,xss,true,79
BenchmarkTest00153,xss,true,79
BenchmarkTest00273,hash,true,328
BenchmarkTest00274,hash,true,328
BenchmarkTest00293,cmdi,true,78
BenchmarkTest00294,cmdi,true,78
BenchmarkTest00382,xss,true,79
BenchmarkTest00436,sqli,false,89
BenchmarkTest00452,pathtraver,true,22
BenchmarkTest00459,pathtraver,true,22
BenchmarkTest00478,xss,true,79
BenchmarkTest00499,cmdi,true,78
BenchmarkTest00537,hash,true,328
BenchmarkTest00569,cmdi,false,78
BenchmarkTest00570,cmdi,false,78
BenchmarkTest00630,ldapi,true,90
BenchmarkTest00638,hash,true,328
BenchmarkTest00694,ldapi,true,90
BenchmarkTest00695,ldapi,true,90
BenchmarkTest00698,pathtraver,true,22
BenchmarkTest00700,pathtraver,true,22
BenchmarkTest00708,hash,true,328
BenchmarkTest00725,xss,true,79
BenchmarkTest00839,sqli,true,89
BenchmarkTest00870,hash,true,328
BenchmarkTest00947,ldapi,true,90
BenchmarkTest00959,ldapi,true,90
BenchmarkTest00963,hash,true,328
BenchmarkTest00979,cmdi,true,78
BenchmarkTest00983,cmdi,true,78
BenchmarkTest01003,sqli,true,89
BenchmarkTest01023,ldapi,true,90
BenchmarkTest01028,pathtraver,false,22
BenchmarkTest01032,pathtraver,true,22
BenchmarkTest01064,cmdi,true,78
BenchmarkTest01066,cmdi,true,78
BenchmarkTest01094,sqli,true,89
BenchmarkTest01124,hash,true,328
BenchmarkTest01157,pathtraver,true,22
BenchmarkTest01192,cmdi,true,78
BenchmarkTest01232,pathtraver,true,22
BenchmarkTest01242,ldapi,true,90
BenchmarkTest01246,hash,true,328
BenchmarkTest01247,hash,true,328
BenchmarkTest01254,xss,true,79
BenchmarkTest01328,pathtraver,false,22
BenchmarkTest01418,xss,true,79
BenchmarkTest01441,cmdi,true,78
BenchmarkTest01490,ldapi,true,90
BenchmarkTest01500,pathtraver,true,22
BenchmarkTest01506,xss,true,79
BenchmarkTest01515,xss,false,79
BenchmarkTest01553,sqli,false,89
BenchmarkTest01568,ldapi,true,90
BenchmarkTest01572,pathtraver,true,22
BenchmarkTest01582,hash,false,328
BenchmarkTest01587,xss,true,79
BenchmarkTest01726,sqli,true,89
BenchmarkTest01832,ldapi,true,90
BenchmarkTest01833,pathtraver,true,22
BenchmarkTest01836,pathtraver,true,22
BenchmarkTest01887,sqli,true,89
BenchmarkTest01890,sqli,true,89
BenchmarkTest01902,ldapi,true,90
BenchmarkTest01907,pathtraver,true,22
BenchmarkTest01919,xss,true,79
BenchmarkTest01940,cmdi,true,78
BenchmarkTest01971,sqli,true,89
BenchmarkTest01983,pathtraver,true,22
BenchmarkTest02042,hash,true,328
BenchmarkTest02104,ldapi,false,90
BenchmarkTest02121,hash,true,328
BenchmarkTest02127,xss,true,79
BenchmarkTest02131,xss,true,79
BenchmarkTest02150,cmdi,true,78
BenchmarkTest02196,ldapi,true,90
BenchmarkTest02199,pathtraver,true,22
BenchmarkTest02217,hash,true,328
BenchmarkTest02299,ldapi,true,90
BenchmarkTest02303,pathtraver,true,22
BenchmarkTest02305,ldapi,true,90
BenchmarkTest02317,xss,true,79
BenchmarkTest02328,xss,true,79
BenchmarkTest02334,cmdi,true,78
BenchmarkTest02359,sqli,true,89
BenchmarkTest02362,sqli,true,89
BenchmarkTest02364,sqli,true,89
BenchmarkTest02393,hash,true,328
BenchmarkTest02429,cmdi,true,78
BenchmarkTest02433,cmdi,true,78
BenchmarkTest02511,cmdi,true,78
BenchmarkTest02588,xss,true,79
BenchmarkTest02647,sqli,true,89
BenchmarkTest02653,sqli,true,89
BenchmarkTest02671,hash,true,328
BenchmarkTest02696,xss,false,79
